indication,target,molecular_weight,logP,traditional_time_years
stroke,CDK6,349.3,1.99,9.78
asthma,CD33,392.1,3.37,11.5
celiac_disease,MYC,386.3,4.75,13.22
schizophrenia,D2,532.2,3.81,10.92
lymphoma,VEGFPARP,440.4,4.51,14.79
lupus,JAK,432.6,2.97,10.86
hypertension,CDK4,463.6,3.7,11.11
cervical_cancer,EGFR,501.0,2.52,12.79
type2_diabetes,GABA_A,407.4,3.64,10.05
insomnia,PD-1,507.2,2.61,8.71
prostate_cancer,ALK,323.0,2.79,9.88
ulcerative_colitis,PD-L1,499.9,4.81,13.93
leukemia,NF-kB,354.2,2.57,11.13
pneumonia,OX40,418.8,4.36,9.87
myocardial_infarction,ROS1,447.2,2.09,10.81
multiple_sclerosis,HER3,494.7,2.6,11.17
colorectal_cancer,TOP2,352.0,2.11,11.7
hypertension,NTRK,588.7,3.38,9.11
influenza,CTLA-4,458.6,2.75,12.42
breast_cancer,CD30,473.4,3.28,14.23
liver_disease,ER_alpha,473.4,3.11,10.1
prostate_cancer,IL-4,519.5,3.02,13.37
lung_cancer,SGLT2,371.8,2.39,12.75
adhd,GPC3,291.7,5.03,12.75
bladder_cancer,AR,519.0,2.17,11.14
schizophrenia,ER_alpha,427.5,2.36,10.2
hypertension,GCGR,573.4,1.58,10.25
hepatitis_c,AP-1,459.2,2.89,10.0
kidney_cancer,AKT,516.1,2.9,11.9
atherosclerosis,AMPA,309.3,2.75,9.69
osteoporosis,CD19,372.2,3.08,10.88
stroke,CD33,564.7,1.26,11.65
anxiety,BTK,386.0,2.45,9.32
parkinsons,CD20,419.5,3.74,13.05
cervical_cancer,CD22,436.1,3.42,12.33
lymphoma,CD33,399.9,3.23,11.81
colorectal_cancer,AR,512.2,2.27,11.38
breast_cancer,ERK,512.5,3.05,10.55
parkinsons,TOP1,533.6,2.8,11.83
bipolar_disorder,GPC3,480.5,2.96,8.97
colon_cancer,IL-17,442.3,3.26,10.44
colon_cancer,MYC,492.9,1.75,14.0
brain_cancer,GCGR,564.7,1.14,11.49
colon_cancer,mTOR,395.2,2.91,9.69
myocardial_infarction,PI3K,483.0,4.58,9.72
hiv_aids,ER_beta,301.3,2.49,7.76
multiple_sclerosis,mTOR,279.9,3.03,11.39
epilepsy,BCR-ABL,471.7,4.59,12.23
stroke,MEK,459.7,4.04,7.61
bladder_cancer,BRD4,496.7,2.56,12.37
multiple_sclerosis,GABA_A,337.3,3.28,10.08
prostate_cancer,BTK,330.6,4.3,12.53
stroke,CD47,437.0,4.2,9.81
depression,GABA_B,411.6,3.27,9.66
rheumatoid_arthritis,EGFR,466.7,2.95,12.45
hypertension,TOP2,415.4,3.39,8.41
type1_diabetes,DNMT,375.9,1.79,10.05
sepsis,5-HT1A,549.4,3.73,10.04
ulcerative_colitis,ER_beta,455.3,4.67,12.02
thyroid_cancer,p53,428.6,4.32,13.27
lymphoma,ROS1,464.0,1.98,13.54
hepatitis_c,GLP-1R,597.8,3.99,8.74
hepatitis_c,c-MET,440.3,3.73,6.74
brain_cancer,HIF,417.7,3.83,11.48
stomach_cancer,NOTCH,258.7,1.98,10.63
influenza,HER4,528.3,2.75,8.41
alzheimers,CD38,466.6,1.65,9.97
thyroid_cancer,IL-4,597.8,4.19,11.67
hyperlipidemia,Wnt,433.9,2.6,10.93
liver_disease,ROS1,532.4,4.98,9.83
atherosclerosis,HER3,526.3,5.17,9.24
psoriasis,PD-L1,376.2,2.18,13.46
als,ALK,354.9,3.44,9.5
arthritis,ER_beta,464.0,2.85,9.11
copd,IL-23,514.7,4.23,10.3
cardiomyopathy,GABA_B,327.9,2.4,9.49
psoriasis,HDAC,515.6,2.53,11.82
depression,HER4,386.1,4.02,12.49
tuberculosis,PR,346.8,2.7,7.86
obesity,c-MET,476.3,2.43,10.92
lupus,BCMA,512.7,2.43,12.6
type2_diabetes,PR,562.7,2.87,8.16
hepatitis_b,LAG3,503.7,3.75,10.51
depression,EGF,399.8,0.95,10.55
colon_cancer,CD30,478.9,3.07,9.62
hepatitis_c,CD33,494.5,2.77,8.61
hypertension,FGFR,415.6,5.01,13.08
hepatitis_c,GABA_B,332.2,3.73,6.74
influenza,HGF,404.0,2.66,10.88
colon_cancer,ALK,424.6,2.2,10.1
obesity,EGFR,495.7,4.39,7.17
liver_disease,5-HT1A,487.6,3.1,10.7
lung_cancer,OX40,371.1,3.52,14.91
sepsis,AKT,622.5,2.62,9.64
pneumonia,HER4,419.9,2.44,7.71
brain_cancer,CD19,410.8,0.25,15.74
als,JAK,482.4,2.15,10.89
kidney_cancer,FGF,321.2,3.75,12.95
kidney_disease,GR,363.4,2.66,10.99
osteoporosis,STAT,567.3,1.59,8.41
chronic_pain,GLP-1R,327.4,3.27,9.11
heart_failure,HER4,542.0,1.43,11.76
chronic_pain,CD19,482.6,3.58,11.26
huntingtons,IL-4,285.3,3.8,10.84
hyperlipidemia,HER3,520.1,2.69,11.39
hiv_aids,GABA_B,550.2,4.14,10.03
hyperlipidemia,HER2,458.2,2.55,9.92
anxiety,GIPR,372.2,2.96,12.24
obesity,SGLT2,495.6,2.68,7.28
atherosclerosis,BRAF,274.2,4.27,9.0
parkinsons,ER_alpha,465.2,2.62,10.23
lung_cancer,ALK,518.6,4.52,11.29
insomnia,HIF,225.8,3.43,6.93
insomnia,IL-1,335.9,3.5,9.81
anxiety,CTLA-4,460.2,3.64,11.88
type1_diabetes,GR,410.1,1.13,10.21
parkinsons,CD38,414.0,3.41,9.66
fibromyalgia,HIF,531.2,1.83,8.6
lupus,GPC3,532.2,2.35,10.99
breast_cancer,BRD4,479.0,2.49,13.71
anxiety,D2,464.6,3.89,10.13
autism,VEGFR,351.8,2.32,9.61
sepsis,AP-1,464.8,5.4,8.12
alzheimers,AMPA,380.9,5.04,12.59
gout,GLP-1R,610.4,2.9,11.75
asthma,AR,426.1,2.31,9.86
chronic_pain,STAT,444.5,1.59,10.18
liver_cancer,NMDA,443.9,4.5,14.57
ulcerative_colitis,IL-23,401.1,2.76,9.41
liver_cancer,BCR-ABL,313.9,3.37,12.4
migraine,PD-L1,471.2,3.06,13.37
coronary_artery_disease,AR,432.7,2.71,9.1
sepsis,AMPA,490.2,2.97,9.05
schizophrenia,GLP-1R,475.2,3.21,11.45
lung_cancer,STAT,539.9,3.68,10.49
coronary_artery_disease,5-HT1A,465.4,4.52,9.87
multiple_sclerosis,CTLA-4,483.6,4.3,13.23
arrhythmia,CD30,498.6,1.16,8.53
adhd,GLP-1R,554.4,3.14,9.71
sepsis,JAK,445.8,3.28,11.84
asthma,mTOR,422.4,3.23,12.02
pneumonia,TOP1,402.6,4.27,8.54
copd,NMDA,440.9,2.62,10.46
melanoma,PI3K,376.0,3.27,13.26
cervical_cancer,AMPA,465.0,3.39,13.07
kidney_cancer,HER2,367.8,1.4,10.8
hypertension,TIGIT,500.0,4.48,9.71
parkinsons,FGFR,367.9,4.59,12.5
covid_19,NMDA,472.7,2.99,7.86
tuberculosis,PI3K,418.2,1.62,9.59
hyperlipidemia,CEA,529.0,2.22,10.29
hiv_aids,5-HT2A,387.6,3.99,9.24
hyperlipidemia,IL-17,299.4,1.48,9.2
type2_diabetes,MEK,448.5,3.29,7.02
colon_cancer,ER_beta,488.8,2.7,13.17
cardiomyopathy,BTK,652.4,2.77,9.0
autism,PD-L1,431.5,2.2,14.99
anxiety,AMPA,459.9,3.61,12.19
ulcerative_colitis,GABA_B,546.3,1.51,11.95
ulcerative_colitis,VEGFR,430.3,3.45,11.02
heart_failure,SGLT2,497.0,3.01,8.04
colon_cancer,GR,493.4,2.19,11.34
autism,5-HT1A,574.6,3.99,13.54
alzheimers,TOP1,342.4,1.92,9.54
brain_cancer,RAS,366.2,3.68,12.38
huntingtons,AR,347.2,2.67,10.04
gout,OX40,486.4,2.93,9.49
alzheimers,RET,470.7,1.93,13.96
hepatitis_b,GLP-1R,497.6,2.39,7.68
osteoporosis,IL-23,424.0,3.24,8.1
arrhythmia,GABA_B,458.2,3.02,10.39
ovarian_cancer,VEGFR,389.9,2.7,13.58
prostate_cancer,IL-4,450.2,1.62,10.86
hyperlipidemia,HER3,413.0,3.39,8.27
psoriasis,TIGIT,347.8,4.16,11.5
kidney_cancer,HIF,551.6,1.75,12.21
hepatitis_c,NF-kB,558.6,2.86,11.05
cardiomyopathy,HER2,483.5,2.5,7.74
pancreatic_cancer,BCR-ABL,523.8,3.41,12.22
influenza,IL-6,384.9,1.83,8.57
ovarian_cancer,CDK6,333.2,3.19,12.9
depression,c-MET,495.8,3.65,11.3
stroke,NOTCH,440.6,1.84,12.29
autism,TOP1,395.4,4.15,11.08
hepatitis_c,PR,411.2,3.14,6.6
esophageal_cancer,AKT,363.9,3.34,14.35
liver_cancer,BCMA,413.4,4.05,16.46
huntingtons,5-HT2A,511.9,2.5,13.77
multiple_sclerosis,ALK,439.9,2.45,13.19
type1_diabetes,IL-13,336.4,2.14,11.79
malaria,GABA_B,465.9,3.33,10.78
bipolar_disorder,AKT,461.9,2.7,9.23
rheumatoid_arthritis,AKT,524.6,3.06,12.04
hepatitis_b,GPC3,506.3,1.23,8.78
kidney_disease,GLP-1R,200.0,3.28,9.02
copd,PR,336.0,2.79,11.13
parkinsons,MR,425.8,4.59,14.11
celiac_disease,HER4,482.0,3.17,10.36
coronary_artery_disease,5-HT2A,517.0,3.37,11.24
coronary_artery_disease,BTK,413.4,4.07,9.61
fibromyalgia,IL-1,361.2,3.32,8.32
atherosclerosis,D2,326.2,3.2,10.07
crohns_disease,CDK4,465.4,4.68,12.28
lung_cancer,5-HT1A,324.8,2.4,10.77
lymphoma,AKT,515.8,3.34,11.7
heart_failure,GIPR,464.4,2.04,9.44
liver_disease,ER_beta,402.7,4.25,9.25
atherosclerosis,TGF_beta,445.9,3.38,9.82
colorectal_cancer,CD30,440.8,1.82,10.02
bipolar_disorder,PI3K,524.7,3.5,12.38
gout,CD38,634.5,1.98,11.06
colon_cancer,BCR-ABL,515.8,1.69,16.72
brain_cancer,IL-23,462.6,3.98,11.21
rheumatoid_arthritis,IL-17,284.2,2.8,9.93
lung_cancer,MYC,404.9,2.3,12.25
covid_19,TGF_beta,480.8,4.12,10.55
bladder_cancer,Hedgehog,439.3,3.21,11.24
thyroid_cancer,BRD4,459.1,3.0,12.84
liver_cancer,HIF,362.9,4.11,12.13
depression,CDK4,473.6,3.39,12.1
type1_diabetes,MEK,385.5,2.54,13.22
hepatitis_b,MYC,435.9,1.47,9.9
ovarian_cancer,HER2,315.0,2.4,13.56
autism,CDK6,491.8,2.35,12.99
autism,EGF,368.5,2.19,11.29
anxiety,HER4,413.6,2.65,12.32
brain_cancer,HIF,623.2,4.05,15.6
obesity,MR,532.0,4.17,8.96
hyperlipidemia,IL-4,370.1,1.78,10.13
adhd,CTLA-4,361.5,4.33,13.47
hyperlipidemia,NF-kB,406.2,1.75,8.72
hepatitis_c,GPC3,415.5,2.76,10.93
schizophrenia,TNF_alpha,471.5,3.25,10.08
epilepsy,AP-1,383.7,3.69,12.85
tuberculosis,Hedgehog,398.9,2.84,9.37
osteoporosis,CD20,504.9,2.36,10.6
pneumonia,NMDA,404.5,3.59,9.08
bipolar_disorder,PD-L1,381.4,2.62,12.5
parkinsons,AP-1,494.5,5.05,13.6
malaria,RAS,498.4,3.47,9.78
rheumatoid_arthritis,CD30,492.5,1.93,12.55
myocardial_infarction,IL-23,459.2,2.97,9.03
breast_cancer,FGFR,475.7,3.12,12.34
cardiomyopathy,FGF,480.4,2.69,8.14
epilepsy,GABA_A,454.7,1.77,13.52
schizophrenia,Wnt,424.4,4.39,14.38
migraine,TGF_beta,475.5,2.98,11.79
type1_diabetes,VEGFPARP,601.7,1.64,12.81
adhd,CD47,361.2,4.71,9.67
psoriasis,TOP2,453.7,2.76,12.2
autism,TOP2,354.1,3.45,13.09
ulcerative_colitis,JAK,493.6,1.91,10.46
melanoma,BRAF,438.8,2.66,10.33
arrhythmia,GR,470.5,1.88,9.97
autism,MEK,550.2,3.92,11.8
stroke,BCMA,420.9,2.78,9.33
multiple_sclerosis,IL-17,439.1,2.22,10.13
bipolar_disorder,CD47,414.5,2.73,13.07
ovarian_cancer,MYC,579.0,3.95,15.36
esophageal_cancer,AMPA,524.8,3.37,13.33
celiac_disease,CD30,360.6,2.96,11.79
pancreatic_cancer,SGLT2,527.6,1.74,10.81
hepatitis_c,5-HT2A,500.9,5.32,9.44
colon_cancer,RET,534.9,4.41,13.24
tuberculosis,CDK4,467.5,3.97,9.73
tuberculosis,HER4,392.6,3.8,9.04
influenza,PR,502.4,3.29,8.16
tuberculosis,EGF,555.3,2.46,7.74
prostate_cancer,PD-1,435.0,3.1,14.72
malaria,GABA_B,367.6,3.23,10.3
ulcerative_colitis,p53,312.5,4.05,14.83
hepatitis_c,GCGR,453.7,2.48,8.23
parkinsons,TIGIT,383.3,2.77,14.74
pancreatic_cancer,CD22,505.1,3.55,13.63
heart_failure,IGF1R,393.6,2.15,8.73
als,GR,502.6,2.28,10.01
myocardial_infarction,PD-1,454.8,3.12,8.09
asthma,CEA,475.0,3.86,10.99
sepsis,BTK,349.0,1.09,8.77
colorectal_cancer,OX40,404.6,4.8,13.38
cardiomyopathy,HIF,611.8,4.83,11.36
esophageal_cancer,VEGFR,434.6,1.22,13.76
copd,AMPA,262.6,2.39,7.47
hepatitis_b,BRAF,434.2,4.3,10.36
sepsis,MYC,519.4,3.23,9.98
covid_19,DNMT,378.8,2.04,10.9
hypertension,p53,470.3,3.7,9.42
epilepsy,NOTCH,481.4,1.97,10.95
stomach_cancer,CD33,502.1,3.43,12.2
copd,VEGFPARP,364.3,2.22,10.89
fibromyalgia,D2,505.1,2.77,9.87
bipolar_disorder,BCMA,577.1,3.5,14.69
cardiomyopathy,IGF1R,411.1,2.99,8.76
breast_cancer,CDK6,455.1,2.27,10.52
chronic_pain,PD-L1,377.0,3.7,11.42
parkinsons,CD22,517.6,3.6,13.37
hiv_aids,D2,571.2,2.46,10.71
bladder_cancer,TIM3,583.9,2.1,12.57
pneumonia,BCMA,369.0,1.24,10.19
tuberculosis,IL-4,414.3,2.5,10.02
cervical_cancer,D2,492.1,3.24,10.61
leukemia,PD-L1,354.6,2.61,11.93
heart_failure,EGFR,420.3,1.22,8.44
arrhythmia,CEA,371.5,2.23,10.73
cardiomyopathy,ALK,564.7,3.19,11.77
chronic_pain,PI3K,503.0,1.5,11.09
multiple_sclerosis,SGLT2,545.5,4.3,12.31
brain_cancer,NF-kB,290.1,2.29,13.33
breast_cancer,5-HT1A,489.7,3.64,13.11
kidney_disease,GLP-1R,395.7,2.69,9.29
prostate_cancer,GPC3,402.2,3.11,10.71
bladder_cancer,NMDA,545.8,2.23,13.75
schizophrenia,TGF_beta,530.1,2.22,11.56
crohns_disease,BRD4,382.2,3.82,9.95
esophageal_cancer,VEGFPARP,523.8,3.85,13.32
autism,HIF,344.7,2.53,9.7
hypertension,p53,515.8,3.04,11.54
stroke,5-HT2A,364.1,3.46,9.12
influenza,D2,392.8,4.79,11.06
arthritis,SGLT2,573.6,3.6,11.49
migraine,HGF,558.9,3.06,10.42
hyperlipidemia,GCGR,511.2,4.48,8.56
liver_disease,HDAC,469.6,2.74,9.41
insomnia,AMPA,313.6,2.92,9.48
colon_cancer,DNMT,515.9,3.95,14.01
anxiety,ER_beta,490.3,2.46,13.2
hyperlipidemia,CDK6,291.9,2.5,8.53
melanoma,ALK,425.7,2.69,12.78
adhd,CDK6,499.5,4.99,11.86
melanoma,RAS,459.9,2.78,14.06
hepatitis_c,LAG3,429.3,3.12,9.99
gout,BCR-ABL,383.7,3.12,9.92
epilepsy,EGFR,486.1,3.21,9.41
epilepsy,GR,486.6,3.43,11.86
type1_diabetes,EGF,308.2,3.64,13.76
melanoma,AP-1,396.3,1.9,12.18
ulcerative_colitis,RAS,361.6,3.43,11.22
hypertension,HGF,432.2,1.32,8.44
arrhythmia,mTOR,488.2,1.56,9.75
thyroid_cancer,IL-6,461.2,3.24,9.86
hiv_aids,NF-kB,520.8,4.78,7.65
chronic_pain,NF-kB,340.8,2.95,8.86
covid_19,NOTCH,427.9,3.43,11.47
kidney_disease,PI3K,467.3,2.65,8.51
hepatitis_b,CD38,414.7,1.88,11.43
lymphoma,HER2,529.0,3.46,12.15
lupus,MR,523.4,2.69,11.96
leukemia,CDK4,397.5,1.92,13.17
celiac_disease,D2,478.7,1.96,13.24
lymphoma,SGLT2,597.9,1.69,12.41
arthritis,ALK,471.9,4.57,9.29
bladder_cancer,PR,497.9,3.18,13.32
melanoma,HDAC,372.5,1.62,11.5
liver_disease,BCMA,511.6,4.51,11.3
atherosclerosis,SGLT2,414.9,1.86,12.11
migraine,ALK,253.3,2.02,11.25
ovarian_cancer,CD22,440.9,4.6,16.19
bipolar_disorder,ER_alpha,503.9,3.31,10.68
hepatitis_c,PD-1,418.0,2.42,9.37
thyroid_cancer,MEK,562.5,3.2,12.17
heart_failure,BRAF,281.8,2.33,11.35
lymphoma,GCGR,381.3,2.45,12.98
stroke,CD33,495.0,2.89,10.76
huntingtons,GABA_B,443.9,4.31,13.88
lymphoma,BTK,394.3,4.86,13.75
osteoporosis,TOP2,396.3,3.09,9.19
alzheimers,TGF_beta,427.5,3.12,9.6
parkinsons,FGFR,485.6,3.43,11.31
asthma,RAS,389.8,1.88,11.36
ovarian_cancer,NF-kB,650.3,2.52,14.73
sepsis,AKT,505.9,1.39,8.45
myocardial_infarction,BRD4,427.6,2.87,10.03
atherosclerosis,CD38,487.8,0.28,11.29
hiv_aids,IL-1,463.3,1.85,6.48
asthma,JAK,475.9,1.96,11.67
copd,AKT,381.6,2.73,8.7
bipolar_disorder,HER2,365.8,2.52,11.08
arrhythmia,HIF,354.5,1.17,9.17
schizophrenia,NTRK,531.4,1.7,12.45
epilepsy,IGF1R,435.7,3.75,11.07
migraine,GIPR,400.8,2.17,10.54
leukemia,NF-kB,468.1,4.12,12.63
schizophrenia,MEK,356.5,2.85,11.7
depression,PD-L1,311.4,2.61,13.07
type1_diabetes,RET,452.7,2.15,9.97
liver_cancer,CD47,413.4,1.59,11.73
anxiety,BRD4,456.2,4.06,10.43
liver_cancer,JAK,362.2,2.38,12.31
colon_cancer,CD20,490.2,4.21,16.54
fibromyalgia,CDK6,330.5,2.83,9.75
stomach_cancer,HER4,472.7,2.9,12.3
schizophrenia,BTK,251.9,3.5,12.15
myocardial_infarction,PD-1,571.5,3.12,10.22
malaria,HGF,367.5,2.49,9.3
arrhythmia,FGF,591.6,3.91,9.01
gout,RET,501.2,3.36,9.07
atherosclerosis,MYC,397.1,2.8,13.37
rheumatoid_arthritis,mTOR,443.8,3.55,10.08
lung_cancer,ER_beta,570.7,4.12,11.81
schizophrenia,MR,336.4,3.22,9.76
epilepsy,PD-1,508.9,3.62,9.68
insomnia,ER_beta,399.7,5.91,11.18
arthritis,GIPR,347.8,1.92,10.25
anxiety,PD-L1,468.7,5.12,15.61
psoriasis,HER3,383.1,2.73,11.06
prostate_cancer,EGF,536.2,2.98,13.56
chronic_pain,NOTCH,423.2,3.57,14.4
copd,Hedgehog,471.8,4.03,12.73
tuberculosis,OX40,553.3,3.31,7.92
asthma,GR,473.3,3.21,8.97
thyroid_cancer,IL-13,489.1,3.06,11.97
psoriasis,TIGIT,450.0,4.2,12.1
anxiety,p53,571.3,1.49,13.76
covid_19,BCR-ABL,450.8,2.31,10.63
lymphoma,5-HT2A,425.1,3.4,12.91
malaria,HGF,503.6,2.89,7.03
esophageal_cancer,ROS1,296.9,2.03,9.55
covid_19,BRD4,521.7,0.26,9.13
crohns_disease,EGFR,545.0,3.52,11.54
tuberculosis,HER3,555.3,2.8,10.09
autism,FGF,285.1,3.43,12.9
obesity,p53,552.0,3.92,11.69
depression,CD33,397.0,3.09,11.33
hepatitis_b,MR,407.4,2.18,10.98
kidney_disease,CD47,526.4,1.8,8.73
autism,CDK6,378.5,1.9,12.29
arrhythmia,CD38,330.8,3.15,11.46
cervical_cancer,CD38,542.9,2.82,11.52
crohns_disease,GABA_A,329.5,3.84,10.37
fibromyalgia,ALK,584.9,2.35,10.88
als,IL-6,411.7,3.52,12.31
hepatitis_b,TGF_beta,579.7,2.48,9.88
fibromyalgia,BCMA,343.4,3.63,10.98
hypertension,GCGR,513.9,3.01,10.03
ulcerative_colitis,ROS1,405.3,3.99,12.87
bipolar_disorder,HIF,492.2,2.23,12.98
kidney_disease,5-HT2A,453.9,1.65,9.23
asthma,FGFR,504.9,2.74,11.41
hepatitis_c,BRAF,415.1,2.97,7.4
huntingtons,CD20,453.2,3.89,13.29
hyperlipidemia,PD-L1,497.3,2.84,9.42
multiple_sclerosis,ER_alpha,511.1,3.4,10.86
bladder_cancer,D2,415.9,2.88,14.83
adhd,TIGIT,438.1,3.51,14.53
hepatitis_b,AKT,420.6,2.61,8.03
lupus,PDGFR,607.5,3.94,13.99
kidney_disease,GABA_B,389.2,3.57,9.05
obesity,p53,459.5,3.39,9.36
arthritis,CD38,461.0,4.19,8.35
atherosclerosis,D2,477.6,2.94,11.4
colorectal_cancer,PD-1,533.4,3.23,12.18
anxiety,HER4,459.7,3.31,10.43
copd,SGLT2,442.5,3.01,9.28
influenza,BCMA,403.1,2.25,9.65
alzheimers,NF-kB,370.1,1.61,11.82
pancreatic_cancer,HIF,379.6,2.83,12.92
pancreatic_cancer,MR,458.2,2.73,11.53
migraine,CD19,261.5,4.57,13.78
type2_diabetes,PD-L1,536.9,3.45,10.24
hepatitis_b,GIPR,602.6,2.02,12.96
breast_cancer,VEGFR,601.0,2.03,12.92
liver_cancer,IGF1R,469.1,1.73,13.78
type2_diabetes,SGLT2,451.2,3.39,7.58
arthritis,FGF,437.6,3.71,10.23
lupus,ROS1,457.9,2.48,9.54
arthritis,DNMT,404.7,3.81,10.92
depression,GR,397.7,3.92,10.4
covid_19,GLP-1R,547.8,1.33,11.05
hepatitis_b,IL-1,540.6,5.06,10.99
hepatitis_b,GR,470.2,3.6,9.79
hypertension,p53,533.0,2.72,9.11
hiv_aids,CD47,464.6,1.69,10.15
liver_cancer,TIGIT,461.1,3.5,14.77
stroke,EGF,491.3,4.07,10.81
anxiety,HER3,388.0,2.47,11.27
tuberculosis,CDK6,601.6,2.85,11.54
brain_cancer,IL-23,466.0,2.93,11.08
covid_19,PD-L1,384.3,4.62,10.19
psoriasis,CDK4,407.8,1.87,9.72
cervical_cancer,EGFR,413.9,1.0,10.86
prostate_cancer,CDK4,397.9,2.03,13.51
multiple_sclerosis,GPC3,499.4,2.33,13.62
hepatitis_b,MR,521.0,4.4,7.87
adhd,NTRK,512.5,2.78,11.36
stomach_cancer,TNF_alpha,461.3,1.48,12.01
obesity,STAT,439.3,2.14,7.51
lupus,IL-23,505.5,5.57,14.34
type2_diabetes,Wnt,490.0,1.01,9.64
kidney_cancer,EGF,421.1,3.12,12.9
stomach_cancer,CDK4,457.0,2.27,14.04
type2_diabetes,IL-6,469.6,1.76,9.34
pneumonia,BCMA,374.4,3.65,12.78
leukemia,BCR-ABL,368.7,3.54,13.04
ovarian_cancer,IGF1R,340.4,4.76,15.16
autism,mTOR,388.1,2.78,12.33
coronary_artery_disease,BRD4,476.4,2.43,11.28
sepsis,PD-1,461.5,3.58,11.04
lymphoma,CDK6,526.8,3.79,10.19
atherosclerosis,CD19,436.3,2.85,9.81
brain_cancer,STAT,637.9,3.95,12.44
bladder_cancer,c-MET,376.3,3.1,10.22
rheumatoid_arthritis,CD19,423.2,2.86,10.63
bladder_cancer,p53,351.6,2.59,16.22
lupus,CD30,594.9,3.58,11.73
migraine,CD22,250.7,4.22,12.28
leukemia,BRAF,537.2,2.64,12.61
schizophrenia,CD47,507.4,2.14,9.99
lymphoma,HER3,412.4,4.5,11.61
hyperlipidemia,HIF,428.3,1.13,7.73
insomnia,Wnt,444.9,2.92,10.01
thyroid_cancer,GR,545.9,3.01,12.27
cervical_cancer,MEK,416.3,4.05,13.2
hiv_aids,CDK4,459.7,2.25,9.89
hyperlipidemia,BRAF,542.4,3.19,7.11
brain_cancer,EGFR,450.2,3.18,9.89
celiac_disease,GABA_B,364.3,2.47,9.4
bladder_cancer,STAT,450.3,2.81,10.82
sepsis,TIM3,551.8,3.22,10.88
atherosclerosis,TGF_beta,518.4,3.01,9.32
type1_diabetes,RET,534.5,3.4,10.26
ovarian_cancer,CD38,451.1,2.99,13.57
prostate_cancer,BRAF,373.6,3.51,14.43
hyperlipidemia,PDGFR,446.8,2.5,9.03
stroke,LAG3,538.5,1.75,10.71
copd,LAG3,416.2,4.03,12.28
psoriasis,PDGFR,475.2,2.95,11.93
arthritis,HGF,470.1,3.18,9.93
autism,HDAC,328.7,2.65,9.94
malaria,AKT,579.3,2.34,7.87
fibromyalgia,GCGR,424.5,2.46,10.75
tuberculosis,p53,443.0,2.42,11.29
bladder_cancer,SGLT2,488.9,3.2,12.91
prostate_cancer,RET,511.9,1.95,15.18
hyperlipidemia,HER2,422.8,2.77,10.83
covid_19,ROS1,486.5,2.21,9.5
prostate_cancer,HDAC,523.3,4.19,12.28
chronic_pain,BCR-ABL,370.9,2.51,13.66
arrhythmia,FGF,407.4,5.63,10.03
thyroid_cancer,LAG3,415.6,4.68,13.85
cervical_cancer,TGF_beta,348.7,2.01,10.96
asthma,DNMT,395.1,2.15,11.01
ulcerative_colitis,TOP1,428.6,2.29,10.09
huntingtons,IL-1,384.5,4.16,12.32
hepatitis_b,CD38,547.9,3.95,8.49
arrhythmia,ER_alpha,491.9,3.09,11.71
stroke,ERK,410.2,2.05,9.63
lung_cancer,VEGFPARP,479.0,1.83,11.66
ovarian_cancer,GIPR,370.5,4.15,13.76
adhd,GLP-1R,602.1,3.39,11.88
hiv_aids,TIGIT,538.5,2.75,9.64
depression,EGF,343.0,3.61,9.54
celiac_disease,Wnt,495.5,3.07,11.98
ulcerative_colitis,RAS,430.6,3.96,14.43
pneumonia,TIGIT,371.1,2.23,8.93
insomnia,AR,369.4,3.08,11.41
coronary_artery_disease,GLP-1R,363.0,2.32,10.14
thyroid_cancer,p53,393.5,2.74,13.79
hepatitis_b,GPC3,331.0,3.09,10.22
rheumatoid_arthritis,VEGFPARP,549.8,3.14,11.74
migraine,HER2,573.3,4.33,12.87
type1_diabetes,TNF_alpha,512.2,3.07,11.32
atherosclerosis,VEGFR,451.8,3.76,8.67
asthma,NF-kB,418.7,1.12,10.1
depression,BRAF,489.4,1.87,9.48
parkinsons,CD22,373.0,3.0,14.08
bladder_cancer,FGF,442.4,1.59,13.07
bladder_cancer,ROS1,463.2,3.97,14.69
depression,HER2,359.7,4.27,11.69
lung_cancer,ALK,325.2,5.12,13.97
insomnia,GR,417.1,3.15,9.95
lymphoma,BCMA,298.6,2.94,13.11
osteoporosis,PDGFR,468.3,2.91,10.02
hiv_aids,Wnt,405.0,2.05,10.64
alzheimers,PR,540.4,3.03,13.2
liver_cancer,BRD4,573.3,2.47,12.17
type1_diabetes,MR,415.2,3.82,11.47
arthritis,CEA,320.2,1.79,9.95
celiac_disease,CD33,537.8,1.83,12.87
parkinsons,TGF_beta,304.5,4.87,9.45
colon_cancer,RET,338.5,3.18,12.75
obesity,PR,455.5,0.19,9.54
covid_19,TGF_beta,428.6,3.45,9.57
psoriasis,ROS1,478.3,3.9,12.78
leukemia,MYC,419.0,3.71,13.16
depression,CD20,394.9,1.59,11.29
leukemia,GLP-1R,346.2,1.54,14.04
als,IL-6,530.8,1.49,12.23
schizophrenia,GCGR,471.9,2.73,11.2
pancreatic_cancer,AMPA,441.8,4.36,10.38
autism,NF-kB,414.9,3.61,12.46
multiple_sclerosis,GIPR,453.0,2.85,11.08
hepatitis_b,FGF,634.0,1.56,9.18
bladder_cancer,GABA_A,553.1,3.66,12.18
melanoma,BCMA,411.6,4.63,14.66
melanoma,PI3K,302.2,2.48,14.14
