indication,target,molecular_weight,logP,toxicity_label
colorectal_cancer,D2,404.851,3.183,1
rheumatoid_arthritis,D2,338.053,3.181,0
colorectal_cancer,EGFR,429.922,1.701,1
migraine,HER2,356.281,2.873,1
depression,BRAF,497.387,2.222,0
colon_cancer,TNF_alpha,543.039,2.847,1
ovarian_cancer,GIPR,587.412,3.341,1
prostate_cancer,D2,513.892,3.922,0
schizophrenia,5-HT1A,488.961,4.075,0
psoriasis,BRAF,594.353,2.766,1
schizophrenia,BRAF,379.978,1.738,1
lung_cancer,PD1,349.998,3.306,0
prostate_cancer,NMDA,386.369,3.669,1
rheumatoid_arthritis,GABA_A,529.52,3.066,0
depression,IL-6,446.828,2.277,0
asthma,GABA_A,505.075,3.34,0
breast_cancer,D2,495.809,3.453,1
obesity,PD-1,637.429,3.145,1
schizophrenia,mTOR,510.408,2.398,1
asthma,GABA_A,599.258,2.677,1
type2_diabetes,HER2,496.477,5.001,1
colorectal_cancer,GIPR,394.122,2.919,0
asthma,mTOR,521.315,3.444,0
asthma,VEGF,476.716,2.62,0
type2_diabetes,EGFR,393.341,3.401,1
lung_cancer,PD-1,435.488,3.948,1
colorectal_cancer,GIPR,384.541,2.888,0
asthma,NMDA,570.647,3.511,0
copd,GLP-1R,545.36,4.334,1
colon_cancer,EGFR,323.254,4.424,0
melanoma,HER2,356.641,4.207,1
schizophrenia,GIPR,497.467,3.262,1
colon_cancer,PD-1,276.387,2.045,0
migraine,SGLT2,381.999,2.721,0
schizophrenia,PD1,367.575,3.205,0
type2_diabetes,PD-L1,584.881,5.412,1
lung_cancer,HER2,364.659,3.236,0
depression,GIPR,568.036,1.553,0
melanoma,PD-L1,388.921,1.267,0
colorectal_cancer,IL-6,380.866,3.013,0
depression,GIPR,318.304,3.13,0
schizophrenia,PD1,514.788,2.852,0
rheumatoid_arthritis,PD1,469.186,3.204,1
melanoma,NMDA,495.722,4.388,1
colorectal_cancer,PD-L1,494.598,2.049,1
psoriasis,GIPR,591.064,2.743,0
ovarian_cancer,PD-1,294.38,1.524,0
colon_cancer,SGLT2,556.715,2.286,1
depression,ALK,426.87,3.407,1
type2_diabetes,HER2,346.932,1.929,1
psoriasis,IL-6,426.989,2.874,0
type2_diabetes,PD-1,375.231,4.196,1
prostate_cancer,5-HT1A,549.484,3.852,1
colorectal_cancer,GABA_A,352.725,2.754,0
obesity,PD1,586.517,2.459,0
depression,PD-1,534.563,2.304,1
lymphoma,BRAF,514.507,3.599,1
lung_cancer,PD-1,400.775,4.858,1
ovarian_cancer,EGFR,340.485,3.318,0
obesity,D2,488.184,3.218,0
asthma,NMDA,431.675,3.425,0
asthma,NMDA,348.406,4.196,1
lung_cancer,SGLT2,396.109,2.082,0
obesity,GLP-1R,566.027,1.878,0
colon_cancer,PD-L1,484.703,1.492,1
migraine,GIPR,510.125,3.783,0
type2_diabetes,GIPR,527.47,2.874,0
colorectal_cancer,mTOR,441.558,2.732,0
melanoma,BRAF,481.501,4.732,1
psoriasis,PD1,382.131,2.417,0
obesity,NMDA,591.839,3.689,0
lung_cancer,GIPR,406.41,3.138,0
breast_cancer,TNF_alpha,375.206,4.43,1
schizophrenia,ALK,470.93,3.246,0
melanoma,PD1,589.052,2.898,1
colorectal_cancer,D2,395.955,3.707,0
rheumatoid_arthritis,GABA_A,572.161,3.57,0
obesity,PD-L1,474.753,2.436,0
lymphoma,5-HT1A,429.859,2.762,0
migraine,5-HT1A,310.659,4.14,0
asthma,SGLT2,427.151,2.45,0
migraine,EGFR,460.905,2.098,0
prostate_cancer,ALK,405.768,2.514,0
type2_diabetes,ALK,415.773,5.003,1
obesity,5-HT1A,533.732,2.238,0
colon_cancer,TNF_alpha,317.832,2.237,0
colorectal_cancer,PD1,456.162,3.697,1
migraine,HER2,465.354,5.132,0
obesity,PD-1,369.987,3.414,0
prostate_cancer,BRAF,550.475,3.575,1
obesity,TNF_alpha,378.582,3.436,0
breast_cancer,PD-L1,445.863,2.127,1
migraine,SGLT2,401.866,3.069,1
schizophrenia,D2,436.549,3.15,1
ovarian_cancer,D2,280.229,2.183,0
asthma,GLP-1R,487.67,3.988,0
breast_cancer,5-HT1A,508.93,4.329,0
copd,D2,461.318,2.874,0
obesity,PD1,454.563,5.166,1
lymphoma,GABA_A,303.154,2.821,0
colon_cancer,GIPR,441.886,4.139,0
ovarian_cancer,mTOR,381.426,3.492,0
asthma,ALK,532.001,3.705,0
melanoma,ALK,381.292,1.918,0
colorectal_cancer,ALK,536.362,3.692,0
migraine,BRAF,372.075,1.048,0
melanoma,NMDA,409.762,1.732,0
prostate_cancer,HER2,397.792,5.318,1
depression,EGFR,452.437,4.581,1
rheumatoid_arthritis,D2,513.735,3.718,1
copd,NMDA,377.106,2.084,1
copd,PD1,463.765,2.412,0
rheumatoid_arthritis,D2,352.266,3.014,0
type2_diabetes,VEGF,386.75,2.718,0
lymphoma,TNF_alpha,358.341,1.758,1
schizophrenia,HER2,556.808,3.939,1
obesity,TNF_alpha,589.854,3.958,1
lymphoma,BRAF,453.306,3.555,0
melanoma,IL-6,461.941,4.595,0
colon_cancer,PD-1,521.968,3.915,0
lymphoma,GIPR,369.732,2.89,0
colon_cancer,BRAF,330.805,1.736,0
schizophrenia,ALK,470.947,3.038,1
lung_cancer,5-HT1A,544.632,1.456,0
lung_cancer,SGLT2,443.772,3.113,1
prostate_cancer,GIPR,384.565,3.141,0
schizophrenia,D2,366.148,3.699,0
obesity,GIPR,315.435,4.316,0
type2_diabetes,VEGF,512.012,3.859,0
obesity,IL-6,555.697,1.386,1
rheumatoid_arthritis,EGFR,419.203,4.436,1
type2_diabetes,D2,392.192,3.441,0
copd,GLP-1R,342.454,2.747,0
ovarian_cancer,PD-L1,466.346,1.813,1
rheumatoid_arthritis,VEGF,405.43,2.361,0
lung_cancer,PD-L1,444.848,-0.33,0
lung_cancer,BRAF,487.229,4.215,0
melanoma,PD1,543.816,2.524,0
depression,IL-6,428.169,2.161,0
colorectal_cancer,EGFR,547.792,3.062,1
rheumatoid_arthritis,D2,519.988,2.856,0
colorectal_cancer,GLP-1R,320.59,3.45,0
asthma,SGLT2,299.607,4.383,1
depression,HER2,476.498,3.507,1
asthma,TNF_alpha,342.905,2.839,0
type2_diabetes,SGLT2,429.584,4.512,1
ovarian_cancer,HER2,452.245,1.816,1
colorectal_cancer,mTOR,529.847,3.043,1
colon_cancer,PD-1,481.042,2.208,0
psoriasis,GIPR,400.23,4.536,1
copd,PD-L1,471.817,4.526,1
type2_diabetes,PD1,435.981,2.191,0
type2_diabetes,NMDA,524.151,2.912,1
breast_cancer,SGLT2,414.825,4.135,1
melanoma,PD-1,339.058,2.457,0
colorectal_cancer,ALK,433.319,2.468,0
prostate_cancer,PD1,442.403,3.232,1
lung_cancer,IL-6,396.791,2.416,0
lung_cancer,PD-L1,425.932,3.114,0
depression,HER2,291.299,2.48,1
type2_diabetes,TNF_alpha,350.624,3.041,1
type2_diabetes,PD1,532.296,2.078,0
colorectal_cancer,ALK,449.857,3.553,1
lymphoma,D2,549.706,1.845,0
lymphoma,D2,539.984,2.803,0
breast_cancer,ALK,189.973,5.112,0
melanoma,GLP-1R,586.114,3.845,1
colon_cancer,mTOR,499.675,4.21,0
colorectal_cancer,HER2,371.865,2.659,1
lymphoma,PD-L1,516.222,3.802,1
prostate_cancer,PD-L1,354.502,3.024,0
colorectal_cancer,GLP-1R,483.447,2.325,0
melanoma,TNF_alpha,534.242,4.107,1
lung_cancer,GABA_A,417.553,2.201,0
lung_cancer,PD-1,397.061,3.343,1
migraine,IL-6,394.565,3.577,1
asthma,D2,544.621,3.803,0
depression,VEGF,412.711,2.394,0
schizophrenia,IL-6,503.282,3.822,1
lymphoma,GABA_A,364.34,3.966,0
obesity,BRAF,375.077,3.11,0
depression,GABA_A,537.766,1.555,1
obesity,SGLT2,514.779,3.059,0
copd,5-HT1A,328.526,4.652,1
schizophrenia,PD1,439.696,5.487,1
obesity,5-HT1A,347.264,2.436,0
depression,HER2,370.021,5.036,1
colon_cancer,GABA_A,432.985,2.712,1
asthma,PD-1,483.212,3.227,0
schizophrenia,5-HT1A,520.097,3.99,0
schizophrenia,GLP-1R,619.015,3.843,0
schizophrenia,D2,479.937,3.368,1
breast_cancer,5-HT1A,445.566,4.411,0
migraine,GLP-1R,446.969,4.281,0
type2_diabetes,VEGF,357.628,3.024,0
depression,EGFR,352.657,2.166,1
colorectal_cancer,D2,504.754,3.66,0
migraine,NMDA,488.634,3.632,1
rheumatoid_arthritis,TNF_alpha,439.239,3.605,1
ovarian_cancer,mTOR,458.887,1.955,0
melanoma,TNF_alpha,443.12,3.265,1
melanoma,PD-1,543.032,2.853,0
rheumatoid_arthritis,5-HT1A,492.425,3.007,1
ovarian_cancer,IL-6,531.346,3.627,0
obesity,VEGF,512.413,4.465,0
schizophrenia,D2,394.44,3.435,0
melanoma,VEGF,508.188,0.94,0
asthma,EGFR,463.343,4.985,1
psoriasis,GLP-1R,532.183,2.71,0
copd,PD-1,520.053,2.134,0
schizophrenia,5-HT1A,414.077,3.905,1
lymphoma,PD1,440.135,2.51,0
ovarian_cancer,GIPR,553.448,2.844,0
colon_cancer,GIPR,466.89,2.582,0
prostate_cancer,D2,439.79,2.816,0
melanoma,mTOR,503.388,3.181,0
rheumatoid_arthritis,VEGF,440.732,3.981,0
depression,HER2,434.006,3.743,1
ovarian_cancer,NMDA,545.502,1.745,1
prostate_cancer,PD1,491.094,2.339,0
melanoma,IL-6,306.564,3.468,0
lung_cancer,ALK,393.145,3.684,0
type2_diabetes,NMDA,499.184,1.406,0
colorectal_cancer,PD1,301.079,2.235,0
rheumatoid_arthritis,PD-1,493.74,4.25,1
migraine,D2,516.018,3.482,0
asthma,TNF_alpha,505.718,3.795,1
copd,SGLT2,538.098,2.158,0
copd,VEGF,501.425,3.59,1
migraine,mTOR,339.323,2.878,0
depression,IL-6,490.825,3.322,1
schizophrenia,IL-6,447.553,3.225,1
colon_cancer,IL-6,508.408,3.856,1
asthma,SGLT2,466.066,2.042,0
breast_cancer,GIPR,450.854,3.423,1
migraine,D2,304.699,1.3,0
breast_cancer,TNF_alpha,485.692,4.171,1
migraine,5-HT1A,436.653,2.904,0
psoriasis,PD-1,433.13,2.633,0
asthma,ALK,424.108,2.773,1
melanoma,EGFR,415.221,1.284,1
ovarian_cancer,IL-6,531.896,4.538,1
type2_diabetes,mTOR,514.749,3.296,0
copd,BRAF,499.128,2.64,0
melanoma,EGFR,495.398,2.87,0
lung_cancer,PD1,463.282,3.996,0
colon_cancer,IL-6,477.189,3.455,1
lymphoma,ALK,438.003,1.885,0
schizophrenia,PD-1,406.726,3.451,1
lymphoma,PD-L1,394.773,1.204,0
psoriasis,PD-L1,398.055,3.117,0
colorectal_cancer,HER2,389.979,3.588,0
migraine,IL-6,418.79,2.949,0
depression,PD1,406.128,3.266,1
obesity,EGFR,590.067,1.766,0
lung_cancer,HER2,490.805,3.793,1
copd,PD1,456.54,3.043,0
lung_cancer,IL-6,421.328,1.105,0
migraine,BRAF,301.705,3.392,0
migraine,SGLT2,529.711,4.858,0
depression,PD-L1,274.522,2.649,0
psoriasis,D2,446.969,3.821,0
copd,VEGF,552.628,2.755,1
rheumatoid_arthritis,NMDA,317.208,3.089,0
type2_diabetes,PD-1,559.473,4.016,1
rheumatoid_arthritis,PD-1,538.334,2.487,0
psoriasis,SGLT2,448.849,3.166,0
psoriasis,PD1,427.603,3.113,0
rheumatoid_arthritis,5-HT1A,553.778,2.208,0
asthma,PD1,456.576,2.668,0
colon_cancer,EGFR,449.932,3.825,1
migraine,GLP-1R,506.04,2.245,0
type2_diabetes,PD-1,602.4,2.442,0
copd,mTOR,500.315,2.873,0
migraine,ALK,498.819,4.641,1
prostate_cancer,EGFR,474.931,3.645,0
prostate_cancer,5-HT1A,437.48,3.889,1
rheumatoid_arthritis,VEGF,534.404,2.666,0
rheumatoid_arthritis,ALK,480.865,2.075,0
colon_cancer,ALK,354.467,2.681,0
melanoma,D2,464.772,1.537,0
obesity,D2,317.683,3.01,0
migraine,TNF_alpha,373.687,4.372,1
obesity,ALK,558.087,3.913,0
colorectal_cancer,VEGF,439.003,3.118,0
breast_cancer,GIPR,548.972,4.312,1
type2_diabetes,EGFR,432.953,1.906,0
schizophrenia,EGFR,438.526,2.967,1
lymphoma,EGFR,544.948,3.092,0
migraine,IL-6,390.223,2.154,0
asthma,TNF_alpha,412.956,4.236,1
lung_cancer,D2,423.596,4.555,1
colon_cancer,5-HT1A,385.334,3.404,0
copd,D2,515.598,3.946,0
type2_diabetes,D2,415.361,1.548,0
lymphoma,GIPR,504.728,3.135,0
colorectal_cancer,TNF_alpha,366.213,3.628,1
asthma,VEGF,457.534,3.74,1
rheumatoid_arthritis,PD-L1,351.164,1.808,0
breast_cancer,D2,494.562,4.744,1
migraine,PD-L1,369.677,2.467,0
schizophrenia,GABA_A,359.48,3.016,0
lymphoma,mTOR,318.936,1.35,0
melanoma,SGLT2,465.505,2.994,0
colorectal_cancer,PD1,467.67,3.707,1
copd,5-HT1A,440.295,3.928,0
depression,EGFR,420.872,1.733,0
lymphoma,GABA_A,433.913,1.763,0
type2_diabetes,mTOR,251.522,1.867,0
lung_cancer,TNF_alpha,576.889,3.038,1
schizophrenia,IL-6,385.431,3.277,1
migraine,D2,503.164,3.775,0
schizophrenia,PD-1,419.064,3.319,0
melanoma,PD-L1,322.466,3.523,1
prostate_cancer,D2,379.812,3.242,0
rheumatoid_arthritis,PD1,314.232,4.042,0
psoriasis,EGFR,376.497,1.658,0
asthma,IL-6,452.864,3.138,1
rheumatoid_arthritis,D2,510.81,0.755,0
prostate_cancer,5-HT1A,405.59,0.843,0
migraine,ALK,468.3,1.707,1
rheumatoid_arthritis,ALK,477.556,4.181,1
ovarian_cancer,EGFR,476.432,2.963,0
rheumatoid_arthritis,SGLT2,504.709,1.714,0
melanoma,5-HT1A,332.461,3.952,0
depression,PD-1,498.099,4.862,0
type2_diabetes,VEGF,401.949,2.113,1
lung_cancer,PD-1,595.462,3.192,0
type2_diabetes,PD-L1,377.38,1.957,0
type2_diabetes,BRAF,421.946,2.512,0
depression,EGFR,622.691,1.208,0
ovarian_cancer,NMDA,497.402,3.63,0
rheumatoid_arthritis,EGFR,398.133,2.825,1
melanoma,IL-6,486.124,3.267,0
prostate_cancer,BRAF,343.577,2.816,0
schizophrenia,PD-L1,396.627,3.033,1
schizophrenia,GABA_A,551.585,3.167,0
type2_diabetes,VEGF,474.477,4.296,0
melanoma,EGFR,544.579,3.984,1
obesity,PD-1,312.156,3.311,1
prostate_cancer,BRAF,487.951,1.029,0
breast_cancer,5-HT1A,570.617,2.591,1
depression,GLP-1R,446.716,3.255,1
colorectal_cancer,D2,346.849,3.735,0
schizophrenia,TNF_alpha,554.452,1.528,0
obesity,GLP-1R,382.816,2.489,0
lymphoma,D2,345.036,2.978,0
depression,PD-L1,360.028,2.504,0
psoriasis,BRAF,583.747,3.47,1
breast_cancer,HER2,359.284,3.08,1
colorectal_cancer,ALK,466.621,3.486,0
colon_cancer,SGLT2,626.265,3.632,1
ovarian_cancer,5-HT1A,549.649,3.466,0
depression,NMDA,418.054,1.041,0
colorectal_cancer,SGLT2,525.909,2.621,0
prostate_cancer,EGFR,427.504,2.741,1
lung_cancer,GIPR,510.907,4.233,1
melanoma,TNF_alpha,471.061,2.997,0
rheumatoid_arthritis,IL-6,406.473,1.603,0
lymphoma,GIPR,459.053,3.795,0
depression,PD1,323.249,1.252,0
type2_diabetes,GIPR,584.86,4.233,1
colon_cancer,5-HT1A,500.829,4.27,0
colorectal_cancer,GIPR,480.106,3.606,1
breast_cancer,EGFR,449.375,1.8,1
asthma,PD-1,524.907,2.529,1
psoriasis,mTOR,520.379,2.101,0
colon_cancer,NMDA,379.258,2.513,1
depression,VEGF,545.819,3.352,0
schizophrenia,GIPR,397.065,1.859,0
lung_cancer,TNF_alpha,449.387,3.162,1
type2_diabetes,PD-1,422.798,2.925,0
ovarian_cancer,mTOR,386.752,3.086,0
copd,BRAF,518.533,3.194,1
rheumatoid_arthritis,PD1,450.818,3.488,0
prostate_cancer,BRAF,405.931,5.671,1
colon_cancer,EGFR,541.573,3.549,1
type2_diabetes,IL-6,492.852,1.898,0
colorectal_cancer,D2,590.144,3.823,1
schizophrenia,GLP-1R,436.051,2.274,0
breast_cancer,mTOR,488.471,3.698,1
obesity,5-HT1A,401.454,2.739,0
lymphoma,IL-6,486.375,3.695,1
melanoma,PD-L1,358.257,1.469,1
ovarian_cancer,BRAF,442.479,2.961,1
depression,IL-6,547.191,2.075,1
colon_cancer,mTOR,571.055,3.19,1
lymphoma,VEGF,529.898,2.09,0
type2_diabetes,IL-6,536.567,3.134,1
prostate_cancer,ALK,482.695,0.064,0
colorectal_cancer,TNF_alpha,525.653,2.879,1
melanoma,5-HT1A,472.658,2.041,1
breast_cancer,NMDA,557.956,3.451,1
psoriasis,HER2,349.588,1.534,1
lung_cancer,NMDA,673.885,2.999,1
breast_cancer,EGFR,391.6,3.887,0
lung_cancer,mTOR,455.417,1.13,0
obesity,ALK,399.611,3.096,0
lymphoma,TNF_alpha,496.305,0.796,0
colon_cancer,ALK,491.751,2.721,0
ovarian_cancer,BRAF,491.508,3.222,0
psoriasis,BRAF,202.457,2.553,0
schizophrenia,EGFR,285.62,2.11,1
melanoma,ALK,400.307,1.084,0
colorectal_cancer,ALK,425.465,4.489,0
schizophrenia,VEGF,500.899,3.347,0
lymphoma,PD-1,355.865,3.283,0
psoriasis,TNF_alpha,418.579,1.498,1
migraine,GLP-1R,339.157,3.098,0
asthma,ALK,571.276,1.574,0
asthma,GIPR,546.991,0.985,0
prostate_cancer,5-HT1A,421.144,2.78,0
schizophrenia,ALK,509.765,3.943,1
prostate_cancer,PD-L1,413.547,3.737,1
copd,PD1,323.885,1.397,0
psoriasis,mTOR,418.699,2.111,0
copd,D2,419.729,3.864,0
rheumatoid_arthritis,D2,388.468,2.066,0
ovarian_cancer,PD-1,453.711,1.671,0
lung_cancer,NMDA,404.504,3.966,0
psoriasis,ALK,484.307,2.717,1
lymphoma,GLP-1R,595.033,2.06,0
colon_cancer,5-HT1A,608.794,2.018,0
lymphoma,PD1,463.683,3.134,1
breast_cancer,5-HT1A,481.087,4.746,0
lymphoma,ALK,542.594,4.149,1
colon_cancer,ALK,508.008,3.304,1
copd,SGLT2,306.445,1.879,0
depression,IL-6,501.878,4.461,1
breast_cancer,NMDA,457.624,3.781,1
ovarian_cancer,GLP-1R,399.77,1.85,0
migraine,EGFR,451.42,2.351,0
prostate_cancer,TNF_alpha,383.052,3.964,0
colorectal_cancer,BRAF,460.142,3.753,0
colon_cancer,HER2,485.978,1.761,0
lung_cancer,TNF_alpha,474.694,3.466,1
ovarian_cancer,GLP-1R,509.17,2.905,0
rheumatoid_arthritis,IL-6,415.292,3.196,1
ovarian_cancer,mTOR,351.952,1.664,0
migraine,GLP-1R,424.803,2.646,0
type2_diabetes,HER2,427.786,3.826,1
obesity,mTOR,463.55,2.224,0
type2_diabetes,D2,570.659,2.752,0
breast_cancer,PD-1,388.483,3.113,0
psoriasis,TNF_alpha,509.431,2.07,0
melanoma,BRAF,458.064,4.655,0
lung_cancer,EGFR,508.942,3.52,1
type2_diabetes,GLP-1R,573.149,3.437,1
migraine,mTOR,427.946,2.717,0
lung_cancer,D2,426.592,1.011,1
ovarian_cancer,EGFR,582.405,2.495,1
breast_cancer,GLP-1R,597.035,3.422,1
rheumatoid_arthritis,SGLT2,512.569,2.721,0
colorectal_cancer,5-HT1A,517.986,4.638,0
schizophrenia,ALK,558.623,2.286,0
melanoma,HER2,326.139,3.776,1
prostate_cancer,IL-6,499.502,3.67,1
colon_cancer,ALK,519.759,2.393,0
melanoma,PD-L1,380.075,2.419,1
schizophrenia,5-HT1A,536.671,4.323,0
prostate_cancer,PD-L1,243.435,3.215,1
rheumatoid_arthritis,ALK,424.546,2.734,0
lymphoma,GIPR,391.008,2.213,0
prostate_cancer,GABA_A,326.43,5.874,1
psoriasis,mTOR,473.905,4.186,0
breast_cancer,IL-6,436.863,1.111,1
breast_cancer,mTOR,467.387,1.396,0
ovarian_cancer,5-HT1A,538.247,2.844,1
obesity,HER2,487.025,2.971,0
lung_cancer,5-HT1A,583.022,4.301,1
obesity,PD1,446.002,2.943,1
psoriasis,ALK,481.029,3.821,1
colorectal_cancer,mTOR,345.876,3.428,0
prostate_cancer,IL-6,478.659,4.884,0
rheumatoid_arthritis,PD1,505.548,1.572,1
type2_diabetes,HER2,450.554,2.077,0
depression,PD-L1,543.27,2.688,0
rheumatoid_arthritis,GLP-1R,441.75,2.481,0
copd,5-HT1A,495.623,1.846,0
melanoma,HER2,498.492,1.524,1
colon_cancer,GLP-1R,285.694,2.58,0
migraine,NMDA,445.553,3.363,0
prostate_cancer,ALK,385.859,2.932,0
melanoma,PD-1,387.293,2.645,0
melanoma,HER2,465.487,1.56,0
asthma,D2,221.498,2.711,0
migraine,NMDA,392.699,3.384,0
melanoma,GABA_A,507.314,4.156,1
rheumatoid_arthritis,SGLT2,428.787,-0.299,0
asthma,SGLT2,449.426,0.517,0
asthma,SGLT2,538.683,4.007,0
breast_cancer,PD-1,306.351,1.771,0
schizophrenia,mTOR,528.213,2.883,0
lung_cancer,PD1,474.08,3.574,1
breast_cancer,BRAF,478.546,3.104,0
melanoma,mTOR,458.608,2.391,1
obesity,BRAF,339.882,2.606,0
rheumatoid_arthritis,GABA_A,342.401,4.083,1
melanoma,HER2,369.956,1.797,0
melanoma,TNF_alpha,382.512,2.777,1
copd,GLP-1R,520.04,2.69,1
depression,EGFR,464.362,4.849,1
breast_cancer,GLP-1R,287.567,3.214,0
colorectal_cancer,ALK,468.443,2.225,0
depression,VEGF,453.009,2.656,0
rheumatoid_arthritis,NMDA,390.654,2.873,1
breast_cancer,mTOR,377.457,3.263,0
lymphoma,ALK,392.595,2.996,0
melanoma,HER2,498.461,3.75,0
asthma,PD-1,419.041,3.89,1
breast_cancer,GLP-1R,447.977,2.215,0
ovarian_cancer,D2,514.128,2.255,0
colon_cancer,VEGF,453.881,2.784,0
rheumatoid_arthritis,D2,425.473,3.587,0
type2_diabetes,BRAF,535.522,2.288,1
lymphoma,GIPR,541.364,2.472,0
obesity,PD-1,500.304,2.852,1
psoriasis,BRAF,610.872,2.62,0
psoriasis,IL-6,489.215,2.801,1
copd,5-HT1A,406.348,3.779,0
obesity,PD-1,453.188,1.757,0
obesity,PD1,452.107,3.188,1
ovarian_cancer,TNF_alpha,484.501,3.77,0
migraine,5-HT1A,337.655,2.416,0
depression,PD-1,309.681,3.231,1
breast_cancer,IL-6,467.304,3.117,0
copd,5-HT1A,383.516,4.355,0
colorectal_cancer,GIPR,545.532,4.527,1
obesity,VEGF,431.623,2.335,0
type2_diabetes,PD-1,390.903,2.46,0
lung_cancer,PD-L1,440.993,0.706,0
breast_cancer,EGFR,388.382,3.544,1
prostate_cancer,BRAF,479.359,3.023,1
colon_cancer,GLP-1R,540.054,3.243,0
type2_diabetes,mTOR,380.851,3.922,0
psoriasis,mTOR,430.448,3.556,0
colorectal_cancer,VEGF,303.499,2.305,0
breast_cancer,TNF_alpha,475.453,3.414,1
type2_diabetes,VEGF,474.362,2.423,0
rheumatoid_arthritis,NMDA,358.897,2.346,1
melanoma,GIPR,427.472,3.703,0
migraine,GLP-1R,577.297,3.543,0
obesity,GLP-1R,493.851,3.113,0
ovarian_cancer,GLP-1R,522.609,2.176,0
rheumatoid_arthritis,NMDA,515.272,3.652,0
colorectal_cancer,GLP-1R,519.106,3.597,0
rheumatoid_arthritis,PD1,478.499,3.056,1
ovarian_cancer,BRAF,559.677,0.598,0
ovarian_cancer,mTOR,444.671,1.747,0
type2_diabetes,BRAF,500.023,3.03,1
ovarian_cancer,TNF_alpha,371.995,3.277,1
lymphoma,SGLT2,484.644,3.313,0
psoriasis,GLP-1R,731.094,3.339,0
copd,mTOR,499.282,3.29,0
lymphoma,PD1,467.184,2.627,0
copd,HER2,568.596,3.938,1
migraine,NMDA,466.799,4.324,1
obesity,D2,490.924,3.365,0
colon_cancer,PD1,425.24,2.806,0
psoriasis,VEGF,443.429,3.987,1
copd,TNF_alpha,355.629,1.729,1
lung_cancer,GABA_A,561.104,2.644,0
rheumatoid_arthritis,5-HT1A,458.059,3.606,1
depression,D2,448.731,2.112,1
psoriasis,HER2,408.012,1.182,0
schizophrenia,D2,385.696,3.586,0
copd,ALK,431.593,5.098,1
psoriasis,5-HT1A,371.998,3.758,0
depression,BRAF,359.551,1.71,1
copd,VEGF,335.068,3.551,0
type2_diabetes,PD-L1,357.631,1.801,1
psoriasis,PD-1,264.684,3.623,0
copd,PD-L1,466.231,2.721,0
lymphoma,IL-6,389.782,4.476,0
colorectal_cancer,NMDA,476.125,4.282,0
obesity,D2,501.37,2.24,0
breast_cancer,BRAF,425.732,2.854,1
ovarian_cancer,SGLT2,370.731,2.393,0
psoriasis,SGLT2,482.493,4.49,0
psoriasis,IL-6,407.599,2.597,1
schizophrenia,EGFR,394.271,4.898,1
depression,VEGF,516.076,3.743,1
colon_cancer,EGFR,313.025,2.394,0
asthma,PD-1,589.981,1.441,1
rheumatoid_arthritis,PD-L1,441.558,1.802,1
obesity,SGLT2,447.445,4.432,0
depression,VEGF,560.045,2.59,0
melanoma,D2,455.669,4.931,0
lymphoma,IL-6,333.149,3.125,0
schizophrenia,NMDA,396.525,6.0,1
breast_cancer,VEGF,519.149,3.929,0
type2_diabetes,VEGF,537.953,4.882,0
psoriasis,IL-6,496.49,3.126,0
obesity,PD-L1,361.213,1.996,0
obesity,GABA_A,488.187,4.031,1
copd,ALK,602.374,2.994,1
lung_cancer,PD1,310.584,3.907,0
type2_diabetes,HER2,432.563,2.355,1
obesity,D2,619.249,4.106,0
ovarian_cancer,IL-6,414.831,3.2,0
depression,D2,351.415,4.094,0
migraine,HER2,408.858,3.9,0
schizophrenia,SGLT2,439.997,2.786,0
lymphoma,GABA_A,393.206,4.092,1
migraine,HER2,447.718,1.693,1
colorectal_cancer,GLP-1R,538.965,4.671,1
melanoma,EGFR,447.109,1.438,1
colorectal_cancer,GIPR,501.369,1.713,0
type2_diabetes,GABA_A,435.538,1.641,0
asthma,ALK,383.802,1.956,0
lung_cancer,5-HT1A,462.165,3.388,1
schizophrenia,5-HT1A,339.569,2.193,0
ovarian_cancer,GIPR,434.429,4.368,1
migraine,PD1,372.587,2.697,0
rheumatoid_arthritis,VEGF,500.257,3.258,1
copd,SGLT2,322.785,2.983,0
migraine,D2,508.202,2.034,0
colorectal_cancer,SGLT2,460.615,2.45,0
psoriasis,TNF_alpha,358.471,4.476,1
melanoma,BRAF,373.0,3.082,1
copd,HER2,427.483,0.55,0
colorectal_cancer,PD-1,417.674,3.688,1
colon_cancer,GLP-1R,526.786,4.674,0
colon_cancer,NMDA,391.803,1.78,0
depression,VEGF,555.38,2.309,0
obesity,HER2,493.91,2.606,1
rheumatoid_arthritis,VEGF,490.92,4.071,0
colon_cancer,NMDA,470.758,3.019,1
breast_cancer,PD1,527.663,2.488,0
colorectal_cancer,VEGF,409.397,3.834,0
obesity,GIPR,490.662,4.344,0
breast_cancer,5-HT1A,324.132,3.152,0
lymphoma,EGFR,539.661,2.62,0
prostate_cancer,GLP-1R,408.863,4.0,0
lung_cancer,HER2,397.233,3.177,1
schizophrenia,EGFR,473.363,5.749,1
schizophrenia,GABA_A,455.418,4.113,1
schizophrenia,IL-6,313.422,4.132,1
copd,GIPR,375.061,1.31,0
colon_cancer,VEGF,394.504,3.879,0
lung_cancer,5-HT1A,525.451,2.549,0
psoriasis,BRAF,471.961,2.817,0
schizophrenia,mTOR,393.354,2.311,0
lung_cancer,GABA_A,426.693,3.47,0
breast_cancer,PD1,488.934,3.601,1
